ntree,mean_accuracy,mean_f1
1,0.7383449883449883,0.3360565249744482
5,0.8963092463092461,0.6405137095488602
10,0.9366647241647241,0.7599585857480593
20,0.9540695415695415,0.8158635810482616
30,0.9631118881118882,0.8447506852203247
40,0.9589160839160839,0.8282251556800894
50,0.9659042346542346,0.856690260395194
