k,mean_accuracy,mean_f1
1,0.9846979409479408,0.9316390413987417
3,0.9860916860916861,0.9369866349816294
5,0.9853923853923853,0.9333622870727822
7,0.9840034965034963,0.9275289537394491
9,0.9805264180264179,0.9139879822896899
11,0.9805264180264179,0.9143066097406705
13,0.9770493395493395,0.9004375621216228
21,0.9728632478632478,0.8840338355592277
35,0.95479797979798,0.8131220783149095
51,0.9436722999222997,0.7721818216354887
