stop_criterion,mean_accuracy,mean_f1
MaximalDepth(5),0.9094341245270037,0.9212554647013889
MaximalDepth(15),0.8674406604747162,0.8836702006276594
MinimalGain(0.1),0.9107155142758858,0.9192134979641573
MinimalGain(0.01),0.8831699346405228,0.897226212423748
MinimalSizeForSplit(5),0.8752579979360166,0.8890315704011453
MinimalSizeForSplit(11),0.8989336085311319,0.9113007830815816
