k,mean_accuracy,mean_f1
1,0.8887737273511649,0.9023065954157771
3,0.9120707506471095,0.9233035331311132
5,0.9228958153580674,0.9328982211949896
7,0.9278138481449527,0.936964217326239
9,0.9278149266609146,0.9370142155193788
11,0.9261755823986195,0.9356451092102365
13,0.928476056945643,0.9376625678320922
21,0.9271624245038828,0.9364572164830876
35,0.9281460310612598,0.9371747042955626
51,0.93208153580673,0.9406611080129563
65,0.9307689818809319,0.939644491477833
