stop_criterion,mean_accuracy,mean_f1
MaximalDepth(5),0.8330645161290322,0.8922116713570316
MaximalDepth(15),0.7891129032258064,0.8624891774891775
MinimalGain(0.1),0.782258064516129,0.8749500608324137
MinimalGain(0.01),0.8526209677419356,0.9027591873958885
MinimalSizeForSplit(5),0.8526209677419354,0.9022422444154966
MinimalSizeForSplit(11),0.8018145161290324,0.8657539139686883
