k,mean_accuracy,mean_f1
1,0.8199927431059507,0.8046475926833268
5,0.8583091436865022,0.8431487817564163
10,0.8658925979680697,0.8509647132175292
20,0.8678519593613935,0.8542300512612568
30,0.8602322206095792,0.8487656487954116
40,0.8641146589259797,0.8508501989275213
50,0.8716981132075473,0.859824208291658
100,0.8697750362844703,0.8599026944755896
